objectid;facilityid;legacyid;location;depthus;depthds;height;invertus;invertds;diameter;width;modifydate;material;form;pslope;adminarea;shape_len;operationalarea;owner
2951;00330-PP1;111A.284-PP1;627 DAVIS DR;3.2;3.29999;1.25;356.88;356.14999;15;;2002-08-13 17:00:46+00:00;CONCRETE;CIRCULAR;0.795;City;91.85241423;Northeast Creek;PRIVATE
3053;00387-PP1;111B.51-PP1;ROYCROFT DR & CENTRAL PARK DR;6.59999;8.19999;1.25;385.73999;382.01998;15;;2002-08-14 16:34:04+00:00;CONCRETE;CIRCULAR;3.819;City;97.36445399;Stirrup Iron Creek;PRIVATE
3241;00713-PP1;111B.379-PP1;5827 MIAMI BD;4.59999;6.5;1.25;351.25;349.57998;15;;2003-01-10 14:28:36+00:00;CONCRETE;CIRCULAR;4.741;City;35.20983953;Stirrup Iron Creek;PRIVATE
3242;00714-PP1;111B.380-PP1;5827 MIAMI BD;7.09999;1.5;1.25;348.98001;348.85;15;;2001-11-20 15:27:52+00:00;CONCRETE;CIRCULAR;0.426;City;30.43148534;Stirrup Iron Creek;PRIVATE
3276;00488-PP1;111B.154-PP1;CREEKSTONE DR;2.79999;5.8;1.25;378.51;375.83999;18;;2009-10-20 11:22:05+00:00;CONCRETE;CIRCULAR;1.743;City;153.1738098;Stirrup Iron Creek;PRIVATE
8329;10428-PP1;32X.4371-PP1;LEDNUM ST & MURRAY ST;1.5;1.5;1.25;383.07;382.82998;15;;2002-07-12 11:31:59+00:00;CONCRETE;CIRCULAR;0.906;City;26.49510332;Ellerbe Creek;CITY-ROW
8350;11888-PP2;34X.5336-PP2;GARCIA AVE @ CORDOBA ST;5.9;3.4;1.25;386.79998;384.36999;15;;2002-04-09 11:54:18+00:00;CONCRETE;CIRCULAR;0.922;City;263.5169828;Eno River;CITY-ROW
8529;09672-PP1;311X.3123-PP1;5827 MIAMI BD;;4.19999;1.25;;361.61999;15;;2003-03-11 14:43:30+00:00;CONCRETE;CIRCULAR;;City;29.89462326;Stirrup Iron Creek;PRIVATE
8653;09948-PP1;31X.5578-PP1;TRAIL WOOD PL;8.3;10.6;1.25;388.16;368.42999;15;;2002-03-11 11:28:46+00:00;CONCRETE;CIRCULAR;7.429;City;265.5396607;Eno River;CITY-ROW
8654;09949-PP1;31X.5579-PP1;TRAIL WOOD PL;7.69999;8.19999;1.25;388.79998;388.26;15;;2002-03-11 11:28:46+00:00;CONCRETE;CIRCULAR;1.668;City;32.35757253;Eno River;CITY-ROW
